id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs,name_clean,current_age,birth_decade,selection_decade,age_at_selection,is_male,is_female,is_military,is_veteran,mission_experience_level,total_eva_hrs_has_eva,total_eva_hrs_category,flight_hours_category,nationality_group,year_of_birth_is_outlier,year_of_selection_is_outlier,total_number_of_missions_is_outlier,total_hrs_sum_is_outlier,total_eva_hrs_is_outlier,nationality_encoded,military_civilian_encoded,occupation_encoded,selection_encoded,nationality_group_Canada,nationality_group_France,nationality_group_Germany,nationality_group_Italy,nationality_group_Japan,nationality_group_Other,nationality_group_Russia,nationality_group_USA,nationality_group_nan,mission_experience_level_Single,mission_experience_level_Couple,mission_experience_level_Multiple,mission_experience_level_Veteran,mission_experience_level_nan,flight_hours_category_Short,flight_hours_category_Medium,flight_hours_category_Long,flight_hours_category_Very_Long,flight_hours_category_nan
1,1,1,"Gagarin, Yuri",ГАГАРИН Юрий Алексеевич,male,-1.5470380713298608,Russia,military,TsPK-1,-2.094979017591157,1,-1.4160675181414626,pilot,1961,Vostok 1,Vostok 1,Vostok 2,Vostok 3,1.77,-0.7041362365383889,0,0.0,-0.6709541718905475,"Gagarin, Yuri",1.547038071329856,1930,1960,-1.7251133771526994,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2,2,2,"Titov, Gherman",ТИТОВ Герман Степанович,male,-1.4595538973378217,Russia,military,TsPK-1,-2.094979017591157,1,-1.4160675181414626,pilot,1961,Vostok 2,Vostok 2,Vostok 2,Vostok 2,25.0,-0.6985512283392297,0,0.0,-0.6709541718905475,"Titov, Gherman",1.4595538973378168,1930,1960,-1.9433372288242199,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
3,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,-2.6843323332263687,USA,military,NASA Astronaut Group 1,-2.176849697441324,1,-0.7018818069776996,pilot,1962,MA-6,MA-6,MA-6,MA-6,5.0,-0.6528125509071017,0,0.0,-0.6709541718905475,"Glenn, John H., Jr.",2.6843323332263638,1920,1950,0.8935728429055445,1,0,1,1,Couple,0,No_EVA,Medium,USA,1,0,0,0,0,38.0,1.0,5.0,109.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
4,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,-2.6843323332263687,USA,military,NASA Astronaut Group 2,-2.176849697441324,2,-0.7018818069776996,psp,1998,STS-95,STS-95,STS-95,STS-95,213.0,-0.6528125509071017,0,0.0,-0.6709541718905475,"Glenn, John H., Jr.",2.6843323332263638,1920,1950,0.8935728429055445,1,0,1,1,Couple,0,No_EVA,Medium,USA,1,0,0,0,0,38.0,1.0,6.0,120.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
5,4,2,"Carpenter, M. Scott","Carpenter, M. Scott",male,-2.334395637258212,USA,military,NASA- 1,-2.176849697441324,1,-1.4160675181414626,pilot,1962,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,5.0,-0.7033695737044202,0,0.0,-0.6709541718905475,"Carpenter, M. Scott",2.3343956372582073,1920,1950,0.02067743621946318,1,0,1,0,Single,0,No_EVA,Short,USA,0,0,0,0,0,38.0,1.0,5.0,128.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
6,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,-1.9844589412900562,Russia,military,TsPK-1,-2.094979017591157,1,-0.7018818069776996,pilot,1962,Vostok 3,Vostok 3,Vostok 3,Vostok 3,94.0,-0.5812897918483412,0,0.0,-0.6709541718905475,"Nikolayev, Andriyan",1.984458941290051,1920,1960,-0.6339941187950978,1,0,1,1,Couple,0,No_EVA,Long,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
7,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,-1.9844589412900562,Russia,military,TsPK-2,-2.094979017591157,2,-0.7018818069776996,pilot,1970,Soyuz 9,Soyuz 9,Soyuz 9,Soyuz 9,424.0,-0.5812897918483412,0,0.0,-0.6709541718905475,"Nikolayev, Andriyan",1.984458941290051,1920,1960,-0.6339941187950978,1,0,1,1,Couple,0,No_EVA,Long,Russia,0,0,0,0,0,27.0,1.0,5.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
8,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,-1.896974767298017,Russia,military,TsPK-1,-2.094979017591157,1,-0.7018818069776996,pilot,1962,Vostok 4,Vostok 4,Vostok 4,Vostok 4,70.93,-0.5981136499510357,0,0.0,-0.6709541718905475,"Popovich, Pavel",1.8969747672980122,1930,1960,-0.8522179704666182,1,0,1,1,Couple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
9,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,-1.896974767298017,Russia,military,TsPK-2,-2.094979017591157,2,-0.7018818069776996,commander,1974,Soyuz 14,Soyuz 14,Soyuz 14,Soyuz 14,377.0,-0.5981136499510357,0,0.0,-0.6709541718905475,"Popovich, Pavel",1.8969747672980122,1930,1960,-0.8522179704666182,1,0,1,1,Couple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
10,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,-2.5093639852422904,USA,military,1959 NASA group 1,-2.176849697441324,1,0.01230390418606333,pilot,1962,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,-0.6344885971045054,0,0.0,-0.6709541718905475,"Schirra, Walter M., Jr.",2.5093639852422855,1920,1950,0.45712513956250383,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,1.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
11,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,-2.5093639852422904,USA,military,1960 NASA group 1,-2.176849697441324,2,0.01230390418606333,commander,1965,Gemini 6A,Gemini 6A,Gemini 6A,Gemini 6A,25.87,-0.6344885971045054,0,0.0,-0.6709541718905475,"Schirra, Walter M., Jr.",2.5093639852422855,1920,1950,0.45712513956250383,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,2.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
12,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,-2.5093639852422904,USA,military,1961 NASA group 1,-2.176849697441324,3,0.01230390418606333,commander,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,-0.6344885971045054,0,0.0,-0.6709541718905475,"Schirra, Walter M., Jr.",2.5093639852422855,1920,1950,0.45712513956250383,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,3.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
13,8,4,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.",male,-2.1594272892741344,USA,military,NASA- 1,-2.176849697441324,1,-0.7018818069776996,pilot,1963,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,34.32,-0.6511510525053118,0,0.0,-0.6709541718905475,"Cooper, L. Gordon, Jr.",2.159427289274129,1920,1950,-0.4157702671235775,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,128.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
14,8,4,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.",male,-2.1594272892741344,USA,military,NASA- 1,-2.176849697441324,2,-0.7018818069776996,commander,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.92,-0.6511510525053118,0,0.0,-0.6709541718905475,"Cooper, L. Gordon, Jr.",2.159427289274129,1920,1950,-0.4157702671235775,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,128.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
15,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,-1.5470380713298608,Russia,military,TsPK-1,-2.094979017591157,1,0.01230390418606333,pilot,1963,Vostok 5,Vostok 5,Vostok 5,Vostok 5,119.13,-0.5864000862184174,0,0.0,-0.6709541718905475,"Bykovsky, Valery",1.547038071329856,1930,1960,-1.7251133771526994,1,0,1,1,Multiple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
16,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,-1.5470380713298608,Russia,military,TsPK-2,-2.094979017591157,2,0.01230390418606333,commander,1976,Soyuz 22,Soyuz 22,Soyuz 22,Soyuz 22,189.0,-0.5864000862184174,0,0.0,-0.6709541718905475,"Bykovsky, Valery",1.547038071329856,1930,1960,-1.7251133771526994,1,0,1,1,Multiple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
17,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,-1.5470380713298608,Russia,military,TsPK-3,-2.094979017591157,3,0.01230390418606333,commander,1978,Soyuz 31/29,Soyuz 31,Salyut 6,Soyuz 29,188.0,-0.5864000862184174,0,0.0,-0.6709541718905475,"Bykovsky, Valery",1.547038071329856,1930,1960,-1.7251133771526994,1,0,1,1,Multiple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,0.0,213.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
18,10,6,"Tereshkova, Valentina",ТЕРЕШКОВА Валентина Владимировна,female,-1.2845855493537437,Russia,military,VVS Women,-1.931237657890823,1,-1.4160675181414626,pilot,1963,Vostok 6,Vostok 6,Vostok 6,Vostok 6,70.83,-0.6877443680201597,0,0.0,-0.6709541718905475,"Tereshkova, Valentina",1.2845855493537386,1930,1960,-1.9433372288242199,0,1,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,5.0,224.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
19,11,7,"Komarov, Vladimir",КОМАРОВ Владимир Михайлович,male,-2.1594272892741344,Russia,military,TsPK-1,-2.094979017591157,1,-0.7018818069776996,commander,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,-0.6924345406514978,0,0.0,-0.6709541718905475,"Komarov, Vladimir",2.159427289274129,1920,1960,-0.19754641545205714,1,0,1,1,Couple,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,0.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
20,11,7,"Komarov, Vladimir",КОМАРОВ Владимир Михайлович,male,-2.1594272892741344,Russia,military,TsPK-2,-2.094979017591157,2,-0.7018818069776996,commander,1967,Soyuz 1,Soyuz 1,Soyuz 1,Soyuz 1,26.78,-0.6924345406514978,0,0.0,-0.6709541718905475,"Komarov, Vladimir",2.159427289274129,1920,1960,-0.19754641545205714,1,0,1,1,Couple,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
21,12,8,"Feoktistov, Konstantin",ФЕОКТИСТОВ Константин Петрович,male,-2.2469114632661733,Russia,civilian,Voskhod-1 / TsKBEM-1,-1.7674962981904891,1,-1.4160675181414626,msp,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,-0.6987933323920619,0,0.0,-0.6709541718905475,"Feoktistov, Konstantin",2.2469114632661684,1920,1960,0.8935728429055445,1,0,0,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,0.0,2.0,226.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
22,13,9,"Yegorov, Boris",ЕГОРОВ Борис Борисович,male,-1.2845855493537437,Russia,civilian,Voskhod-1,-1.7674962981904891,1,-1.4160675181414626,msp,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,-0.6987933323920619,0,0.0,-0.6709541718905475,"Yegorov, Boris",1.2845855493537386,1930,1960,-1.5068895254811792,1,0,0,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,0.0,2.0,225.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
23,14,10,"Belyayev, Pavel",БЕЛЯЕВ Павел Иванович,male,-2.334395637258212,Russia,military,TsPK-1,-2.094979017591157,1,-1.4160675181414626,commander,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,-0.6983779577916145,0,0.0,-0.6709541718905475,"Belyayev, Pavel",2.3343956372582073,1920,1960,0.2389012878909835,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,0.0,205.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
24,15,11,"Leonov, Aleksei",ЛЕОНОВ Алексей Архипович,male,-1.5470380713298608,Russia,military,TsPK-1,-2.094979017591157,1,-0.7018818069776996,pilot,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,-0.6645545974694648,1,0.73,-0.6254400091743476,"Leonov, Aleksei",1.547038071329856,1930,1960,-1.7251133771526994,1,0,1,1,Couple,1,Short,Medium,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
25,15,11,"Leonov, Aleksei",ЛЕОНОВ Алексей Архипович,male,-1.5470380713298608,Russia,military,TsPK-2,-2.094979017591157,2,-0.7018818069776996,commander,1975,Soyuz 19,Soyuz 19,Soyuz 19/Apollo,Soyuz 19,142.0,-0.6645545974694648,0,0.0,-0.6254400091743476,"Leonov, Aleksei",1.547038071329856,1930,1960,-1.7251133771526994,1,0,1,1,Couple,1,Short,Medium,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
26,16,5,"Grissom, Virgil I.","Grissom, Virgil I.",male,-2.2469114632661733,USA,military,NASA Astronaut Group 2,-2.176849697441324,1,-1.4160675181414626,commander,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3,4.86,-0.7034028036724559,0,0.0,-0.6709541718905475,"Grissom, Virgil I.",2.2469114632661684,1920,1950,-0.19754641545205714,1,0,1,0,Single,0,No_EVA,Short,USA,0,0,0,0,0,38.0,1.0,0.0,120.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
27,17,6,"Young, John W.","Young, John W.",male,-1.896974767298017,USA,military,1962 NASA group 2,-1.931237657890823,1,2.1548610376773523,pilot,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3,4.86,-0.506209052640605,0,0.0,0.5903492688611272,"Young, John W.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,4.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
28,17,6,"Young, John W.","Young, John W.",male,-1.896974767298017,USA,military,1963 NASA group 2,-1.931237657890823,2,2.1548610376773523,pilot,1966,Gemini 10,Gemini 10,Gemini 10,Gemini 10,70.77,-0.506209052640605,0,0.0,0.5903492688611272,"Young, John W.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,5.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
29,17,6,"Young, John W.","Young, John W.",male,-1.896974767298017,USA,military,1964 NASA group 2,-1.931237657890823,3,2.1548610376773523,pilot,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.05,-0.506209052640605,0,0.0,0.5903492688611272,"Young, John W.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,7.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
30,17,6,"Young, John W.","Young, John W.",male,-1.896974767298017,USA,military,1965 NASA group 2,-1.931237657890823,4,2.1548610376773523,commander,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16,265.85,-0.506209052640605,3,20.23,0.5903492688611272,"Young, John W.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,0.0,8.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
31,17,6,"Young, John W.","Young, John W.",male,-1.896974767298017,USA,military,1966 NASA group 2,-1.931237657890823,5,2.1548610376773523,commander,1981,STS-1,STS-1,STS-1,STS-1,54.5,-0.506209052640605,0,0.0,0.5903492688611272,"Young, John W.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,0.0,10.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
32,17,6,"Young, John W.","Young, John W.",male,-1.896974767298017,USA,military,1967 NASA group 2,-1.931237657890823,6,2.1548610376773523,commander,1983,STS-9,STS-9,STS-9,STS-9,240.0,-0.506209052640605,0,0.0,0.5903492688611272,"Young, John W.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,0.0,14.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
33,18,7,"McDivitt, James A.","McDivitt, James A.",male,-1.9844589412900562,USA,military,NASA- 2,-1.931237657890823,1,-0.7018818069776996,commander,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4,97.0,-0.6243297211621335,0,0.0,-0.6709541718905475,"McDivitt, James A.",1.984458941290051,1920,1960,-0.19754641545205714,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
34,18,7,"McDivitt, James A.","McDivitt, James A.",male,-1.9844589412900562,USA,military,NASA- 2,-1.931237657890823,2,-0.7018818069776996,commander,1969,Apollo 9,Apollo 9,Apollo 9,Apollo 9,241.0,-0.6243297211621335,0,0.0,-0.6709541718905475,"McDivitt, James A.",1.984458941290051,1920,1960,-0.19754641545205714,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
35,19,8,"White, Edward H., II","White, Edward H., II",male,-1.896974767298017,USA,military,1962 NASA group 2,-1.931237657890823,1,-1.4160675181414626,pilot,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4,97.93,-0.6813119956360878,1,0.33,-0.6503792764161009,"White, Edward H., II",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,0,Single,1,Short,Short,USA,0,0,0,0,0,38.0,1.0,5.0,4.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
36,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,-1.896974767298017,USA,military,NASA- 2,-1.931237657890823,1,0.7264896153498263,pilot,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.0,-0.42471255603281477,0,0.0,0.12523193480242753,"Conrad, Charles, Jr.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Multiple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,5.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
37,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,-1.896974767298017,USA,military,NASA- 2,-1.931237657890823,2,0.7264896153498263,commander,1966,Gemini 11,Gemini 11,Gemini 11,Gemini 11,71.0,-0.42471255603281477,0,0.0,0.12523193480242753,"Conrad, Charles, Jr.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Multiple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
38,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,-1.896974767298017,USA,military,NASA- 2,-1.931237657890823,3,0.7264896153498263,commander,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12,244.0,-0.42471255603281477,2,7.75,0.12523193480242753,"Conrad, Charles, Jr.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Multiple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
39,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,-1.896974767298017,USA,military,NASA- 2,-1.931237657890823,4,0.7264896153498263,commander,1973,Skylab 2,Skylab 2,Skylab 2,Skylab 2,673.0,-0.42471255603281477,2,5.02,0.12523193480242753,"Conrad, Charles, Jr.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Multiple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
40,21,10,"Borman, Frank","Borman, Frank",male,-2.071943115282095,USA,military,NASA- 2,-1.931237657890823,1,-0.7018818069776996,commander,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,-0.5913371100408786,0,0.0,-0.6709541718905475,"Borman, Frank",2.07194311528209,1920,1960,0.02067743621946318,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
41,21,10,"Borman, Frank","Borman, Frank",male,-2.071943115282095,USA,military,NASA- 2,-1.931237657890823,2,-0.7018818069776996,commander,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147.0,-0.5913371100408786,0,0.0,-0.6709541718905475,"Borman, Frank",2.07194311528209,1920,1960,0.02067743621946318,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
42,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,-2.071943115282095,USA,military,NASA- 2,-1.931237657890823,1,0.7264896153498263,pilot,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,-0.5348342965342979,0,0.0,-0.6709541718905475,"Lovell, James A., Jr.",2.07194311528209,1920,1960,0.02067743621946318,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
43,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,-2.071943115282095,USA,military,NASA- 2,-1.931237657890823,2,0.7264896153498263,commander,1966,Gemini 12,Gemini 12,Gemini 12,Gemini 12,94.0,-0.5348342965342979,0,0.0,-0.6709541718905475,"Lovell, James A., Jr.",2.07194311528209,1920,1960,0.02067743621946318,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
44,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,-2.071943115282095,USA,military,NASA- 2,-1.931237657890823,3,0.7264896153498263,pilot,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147.0,-0.5348342965342979,0,0.0,-0.6709541718905475,"Lovell, James A., Jr.",2.07194311528209,1920,1960,0.02067743621946318,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
45,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,-2.071943115282095,USA,military,NASA- 2,-1.931237657890823,4,0.7264896153498263,commander,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13,142.0,-0.5348342965342979,0,0.0,-0.6709541718905475,"Lovell, James A., Jr.",2.07194311528209,1920,1960,0.02067743621946318,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
46,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,-1.896974767298017,USA,military,1996 NASA group,-1.931237657890823,1,0.7264896153498263,pilot,1965,gemini 6A,gemini 6A,gemini 6A,gemini 6A,25.86,-0.5839790456900952,0,0.0,-0.6709541718905475,"Stafford, Thomas P.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,49.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
47,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,-1.896974767298017,USA,military,1996 NASA group,-1.931237657890823,2,0.7264896153498263,commander,1966,Gemini 9A,Gemini 9A,Gemini 9A,Gemini 9A,72.0,-0.5839790456900952,0,0.0,-0.6709541718905475,"Stafford, Thomas P.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,49.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
48,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,-1.896974767298017,USA,military,1996 NASA group,-1.931237657890823,3,0.7264896153498263,commander,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.0,-0.5839790456900952,0,0.0,-0.6709541718905475,"Stafford, Thomas P.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,49.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
49,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,-1.896974767298017,USA,military,1996 NASA group,-1.931237657890823,4,0.7264896153498263,commander,1975,ASTP,ASTP,ASTP,ASTP,217.0,-0.5839790456900952,0,0.0,-0.6709541718905475,"Stafford, Thomas P.",1.8969747672980122,1930,1960,-0.4157702671235775,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,49.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
