id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs,name_clean,current_age,birth_decade,selection_decade,age_at_selection,is_male,is_female,is_military,is_veteran,mission_experience_level,total_eva_hrs_has_eva,total_eva_hrs_category,flight_hours_category,nationality_group,year_of_birth_is_outlier,year_of_selection_is_outlier,total_number_of_missions_is_outlier,total_hrs_sum_is_outlier,total_eva_hrs_is_outlier,nationality_encoded,military_civilian_encoded,occupation_encoded,selection_encoded,nationality_group_Canada,nationality_group_France,nationality_group_Germany,nationality_group_Italy,nationality_group_Japan,nationality_group_Other,nationality_group_Russia,nationality_group_USA,nationality_group_nan,mission_experience_level_Single,mission_experience_level_Couple,mission_experience_level_Multiple,mission_experience_level_Veteran,mission_experience_level_nan,flight_hours_category_Short,flight_hours_category_Medium,flight_hours_category_Long,flight_hours_category_Very_Long,flight_hours_category_nan
416,195,1,"Neri Vela, Rodolfl",,male,0.027677060526842268,Mexico,civilian,1985 NASA Group,-0.04821202133698312,1,-1.4160675181414626,psp,1985,STS-61-B,STS-61-B,STS-61-B,STS-61-B,165.07,-0.6652334382450532,0,0.0,-0.6709541718905475,"Neri Vela, Rodolfl",-0.02767706052684724,1950,1980,-0.19754641545205714,1,0,0,0,Single,0,No_EVA,Medium,Other,0,0,0,0,0,21.0,0.0,6.0,31.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
417,196,117,"Bolden, Charles F., Jr.","Bolden, Charles F., Jr.",male,-0.4972279834253921,USA,military,NASA- 9,-0.4575654205878179,1,0.7264896153498263,pilot,1986,STS-61-C,STS-61-C,STS-61-C,STS-61-C,74.0,-0.5431536563889742,0,0.0,-0.6709541718905475,"Bolden, Charles F., Jr.",0.4972279834253871,1940,1980,0.02067743621946318,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,146.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
418,196,117,"Bolden, Charles F., Jr.","Bolden, Charles F., Jr.",male,-0.4972279834253921,USA,military,NASA- 9,-0.4575654205878179,2,0.7264896153498263,pilot,1990,STS-31,STS-31,STS-31,STS-31,121.0,-0.5431536563889742,0,0.0,-0.6709541718905475,"Bolden, Charles F., Jr.",0.4972279834253871,1940,1980,0.02067743621946318,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,146.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
419,196,117,"Bolden, Charles F., Jr.","Bolden, Charles F., Jr.",male,-0.4972279834253921,USA,military,NASA- 9,-0.4575654205878179,3,0.7264896153498263,commander,1992,STS-45,STS-45,STS-45,STS-45,214.0,-0.5431536563889742,0,0.0,-0.6709541718905475,"Bolden, Charles F., Jr.",0.4972279834253871,1940,1980,0.02067743621946318,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,146.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
420,196,117,"Bolden, Charles F., Jr.","Bolden, Charles F., Jr.",male,-0.4972279834253921,USA,military,NASA- 9,-0.4575654205878179,4,0.7264896153498263,commander,1994,STS-60,STS-60,STS-60,STS-60,199.0,-0.5431536563889742,0,0.0,-0.6709541718905475,"Bolden, Charles F., Jr.",0.4972279834253871,1940,1980,0.02067743621946318,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,146.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
421,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,-0.14729128745723585,USA,civilian,NASA- 9,-0.4575654205878179,1,2.8690467488411153,msp,1986,STS-61-C,STS-61-C,STS-61-C,STS-61-C,146.0,-0.3245479380963433,0,0.0,0.546082069507015,"Chang-Diaz, Franklin R.",0.14729128745723089,1950,1980,-0.8522179704666182,1,0,0,1,Veteran,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,146.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
422,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,-0.14729128745723585,USA,civilian,NASA- 9,-0.4575654205878179,2,2.8690467488411153,msp,1989,STS-34,STS-34,STS-34,STS-34,120.0,-0.3245479380963433,0,0.0,0.546082069507015,"Chang-Diaz, Franklin R.",0.14729128745723089,1950,1980,-0.8522179704666182,1,0,0,1,Veteran,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,146.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
423,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,-0.14729128745723585,USA,civilian,NASA- 9,-0.4575654205878179,3,2.8690467488411153,msp,1992,STS-46,STS-46,STS-46,STS-46,191.0,-0.3245479380963433,0,0.0,0.546082069507015,"Chang-Diaz, Franklin R.",0.14729128745723089,1950,1980,-0.8522179704666182,1,0,0,1,Veteran,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,146.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
424,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,-0.14729128745723585,USA,civilian,NASA- 9,-0.4575654205878179,4,2.8690467488411153,msp,1994,STS-60,STS-60,STS-60,STS-60,199.0,-0.3245479380963433,0,0.0,0.546082069507015,"Chang-Diaz, Franklin R.",0.14729128745723089,1950,1980,-0.8522179704666182,1,0,0,1,Veteran,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,146.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
425,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,-0.14729128745723585,USA,civilian,NASA- 9,-0.4575654205878179,5,2.8690467488411153,msp,1996,STS-75,STS-75,STS-75,STS-75,377.0,-0.3245479380963433,0,0.0,0.546082069507015,"Chang-Diaz, Franklin R.",0.14729128745723089,1950,1980,-0.8522179704666182,1,0,0,1,Veteran,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,146.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
426,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,-0.14729128745723585,USA,civilian,NASA- 9,-0.4575654205878179,6,2.8690467488411153,msp,1998,STS-91,STS-91,STS-91,STS-91,236.0,-0.3245479380963433,0,0.0,0.546082069507015,"Chang-Diaz, Franklin R.",0.14729128745723089,1950,1980,-0.8522179704666182,1,0,0,1,Veteran,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,146.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
427,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,-0.14729128745723585,USA,civilian,NASA- 9,-0.4575654205878179,7,2.8690467488411153,msp,2002,STS-111,STS-111,STS-111,STS-111,333.0,-0.3245479380963433,3,19.52,0.546082069507015,"Chang-Diaz, Franklin R.",0.14729128745723089,1950,1980,-0.8522179704666182,1,0,0,1,Veteran,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,146.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
428,198,119,"Cenker, Robert Joseph","Cenker, Robert Joseph",male,-0.322259635441314,USA,civilian,PS by RCA,-0.04821202133698312,1,-1.4160675181414626,psp,1986,STS-61C,STS-61C,STS-61C,STS-61C,146.42,-0.6698025588499752,0,0.0,-0.6709541718905475,"Cenker, Robert Joseph",0.322259635441309,1940,1980,0.6753489912340241,1,0,0,0,Single,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,0.0,6.0,173.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
429,199,120,"Nelson, William Clarence","Nelson, William Clarence",male,-0.8471646793935483,USA,civilian,Congress Observer,-0.13008270118715007,1,-1.4160675181414626,psp,1986,STS-61C,STS-61C,STS-61C,STS-61C,6.03,-0.7031250960824424,0,0.0,-0.6709541718905475,"Nelson, William Clarence",0.8471646793935433,1940,1980,1.7664682495916257,1,0,0,0,Single,0,No_EVA,Short,USA,0,0,0,0,0,38.0,0.0,6.0,74.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
430,200,121,"Smith, Michael John","Smith, Michael John",male,-0.5847121574174312,USA,military,1980 NASA group 9,-0.4575654205878179,1,-1.4160675181414626,pilot,1986,STS-51L,STS-51L,explosion,explosion,0.61,-0.7044115705592568,0,0.0,-0.6709541718905475,"Smith, Michael John",0.5847121574174262,1940,1980,0.2389012878909835,1,0,1,0,Single,0,No_EVA,Short,USA,0,0,0,0,0,38.0,1.0,5.0,25.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
